# English GML string literal (escaped)\tKorean GML string literal (escaped)
Harp	하프
Double Bass	더블 베이스
Bass Drum	베이스 드럼
Snare Drum	스네어 드럼
Click	클릭
Guitar	기타
Flute	플루트
Bell	종
Chime	차임
Xylophone	실로폰
Iron Xylophone	철 실로폰
Cow Bell	카우벨
Didgeridoo	디저리두
Bit	비트
Banjo	밴조
Pling	플링
Trumpet	트럼펫
Exposed Trumpet	약간 녹슨 트럼펫
Weathered Trumpet	녹슨 트럼펫
Oxidized Trumpet	산화된 트럼펫
Orange	주황색
Magenta	자홍색
Light Blue	하늘색
Yellow	노란색
Lime	연두색
Pink	분홍색
Gray	회색
Light Gray	회백색
Cyan	청록색
Purple	보라색
Blue	파란색
Brown	갈색
Green	초록색
Red	빨간색
Black	검은색
White	흰색
Air	공기
Stone	돌
Grass Block	잔디 블록
Dirt	흙
Cobblestone	조약돌
Wood Planks	나무 판자
Bedrock	기반암
Sand	모래
Gravel	자갈
Gold Ore	금 광석
Iron Ore	철 광석
Coal Ore	석탄 광석
Wood	나무
Leaves	나뭇잎
Sponge	스펀지
Glass	유리
Lapis Lazuli Ore	청금석 광석
Lapis Lazuli Block	청금석 블록
Dispenser	발사기
Sandstone	사암
Note Block	소리 블록
Bed	침대
Powered Rail	전동 레일
Detector Rail	감지 레일
Sticky Piston	끈끈이 피스톤
Cobweb	거미줄
Piston	피스톤
Wool	양털
Block of Gold	금 블록
Block of Iron	철 블록
Bricks	벽돌
Bookshelf	책장
Moss Stone	이끼 낀 돌
Obsidian	흑요석
Monster Spawner	몬스터 생성기
Chest	상자
Diamond Ore	다이아몬드 광석
Block of Diamond	다이아몬드 블록
Crafting Table	제작대
Farmland	경작지
Furnace	화로
Burning Furnace	불붙은 화로
Redstone Ore	레드스톤 광석
Glowing Redstone Ore	빛나는 레드스톤 광석
Snow	눈
Ice	얼음
Clay	점토
Pumpkin	호박
Netherrack	네더랙
Soul Sand	영혼 모래
Glowstone	발광석
Jack - o'Lantern	잭오랜턴
Cake	케이크
Stained Glass	색유리
Stained glass	색유리
Monster Egg	벌레 먹은 블록
Stone Bricks	석재 벽돌
Brown Mushroom	갈색 버섯
Red Mushroom	빨간색 버섯
Melon	수박
Mycelium	균사체
Nether Brick	네더 벽돌
End Stone	엔드 돌
Redstone Lamp (inactive)	레드스톤 조명 (꺼짐)
Redstone Lamp (active)	레드스톤 조명 (켜짐)
Wooden Slab	나무 반 블록
Emerald Ore	에메랄드 광석
Block of Emerald	에메랄드 블록
Command Block	명령 블록
Beacon	신호기
Daylight Sensor	햇빛 감지기
Block of Redstone	레드스톤 블록
Nether Quartz Ore	네더 석영 광석
Block of Quartz	석영 블록
Terracotta	테라코타
Colored Terracotta	색 테라코타
Leaves (Acacia / Dark Oak)	나뭇잎 (아카시아 / 짙은 참나무)
Wood (Acacia / Dark Oak)	나무 (아카시아 / 짙은 참나무)
Slime Block	슬라임 블록
Prismarine	프리즈머린
Sea Lantern	바다 랜턴
Hay Bale	건초 더미
Block of Coal	석탄 블록
Packed Ice	꽁꽁 언 얼음
Red Sandstone	붉은 사암
Purpur Block	퍼퍼 블록
Purpur Pillar	퍼퍼 기둥
End Bricks	엔드 석재 벽돌
Grass Path	잔디 길
Repeating Command Block	반복형 명령 블록
Chain Command Block	연쇄형 명령 블록
Frosted Ice	살얼음
Magma Block	마그마 블록
Nether Wart Block	네더 사마귀 블록
Red Nether Brick	붉은 네더 벽돌
Bone Block	뼈 블록
Concrete	콘크리트
Concrete Powder	콘크리트 가루
Tremolo	트레몰로
Stereo	스테레오
Arpeggio	아르페지오
Portamento	포르타멘토
Vibrato	비브라토
Stagger	엇갈리기
Chorus	코러스
Volume LFO	음량 LFO
Fade in	페이드 인
Fade out	페이드 아웃
Replace key	음 높이 바꾸기
Set velocity	세기 설정
Set panning	패닝 설정
Set pitch	미세 음정 설정
Reset all properties	모든 속성 초기화
Unsaved song	저장하지 않은 곡
Unsaved Song	저장하지 않은 곡
Untitled song	제목 없는 곡
Blackout mode	검은 배경 모드
ON	켜짐
OFF	꺼짐
Fullscreen	전체 화면
Remove section	구간 삭제
Jump to beginning of section	구간 시작으로 이동
Jump to ending of section	구간 끝으로 이동
Select all blocks in section	구간의 모든 블록 선택
Start playing in section	구간 시작부터 재생
Stop playing after section	구간 끝에서 재생 정지
...to	...변경:
More...	더 보기...
Copy	복사
Cut	잘라내기
Paste	붙여넣기
Delete	삭제
Select all	모두 선택
Deselect all	선택 해제
Invert selection	선택 반전
Select all to the right	오른쪽 모두 선택
Select all to the right ->	오른쪽 모두 선택 ->
Select all to the left	왼쪽 모두 선택
Select all to the left <-	왼쪽 모두 선택 <-
Select all but 	다음 악기 제외 선택: 
Change instrument...	악기 변경...
Expand selection	선택 영역 늘리기
Compress selection	선택 영역 줄이기
Macros...	매크로...
Transpose notes outside octave range	범위를 벗어난 음 조옮김
Window scale	창 배율
Rainbow mode	무지개 모드
Max framerate	최대 프레임 속도
Max. frame rate	최대 프레임 속도
Expand workspace	작업 영역 확장
Return	돌아가기
The name for this layer	이 레이어의 이름
The name of this layer.	이 레이어의 이름입니다.
Layer	레이어
Volume of this layer: 	레이어 음량: 
%\n(Click and drag to change)	%\n(드래그하여 변경)
\n(Click and drag to change)	\n(드래그하여 변경)
Center	중앙
Stereo pan: 	스테레오 패닝: 
MONO	모노
Lock this layer	레이어 잠금
Solo this layer	이 레이어만 재생
Select all note blocks in this layer\n(Hold Ctrl to select multiple layers)	레이어의 모든 소리 블록 선택\n(Ctrl을 누르면 여러 레이어 선택)
Select all note blocks in this layer\n(Click and drag to select multiple; click again to deselect)	레이어의 모든 소리 블록 선택\n(드래그하면 여러 레이어 선택, 다시 클릭하면 해제)
Add empty layer here	여기에 빈 레이어 추가
Add empty layer here\n(Click and drag to add multiple layers)	여기에 빈 레이어 추가\n(드래그하면 여러 레이어 추가)
Remove this layer	레이어 삭제
Remove this layer\n(Click and drag to remove multiple layers)	레이어 삭제\n(드래그하면 여러 레이어 삭제)
Shift layer up	레이어 위로 이동
Shift layer down	레이어 아래로 이동
Shift layer up\n(Click and drag to shift multiple layers)	레이어 위로 이동\n(드래그하면 여러 레이어 이동)
Shift layer down\n(Click and drag to shift multiple layers)	레이어 아래로 이동\n(드래그하면 여러 레이어 이동)
File	파일
New song	새 곡
Open song	곡 열기
Recent songs...	최근 곡...
Clear recent songs	최근 곡 목록 지우기
No recent songs	최근 곡 없음
Save song	곡 저장
Save song as a new file...	다른 이름으로 저장...
Save options	저장 옵션
Restore unsaved files...	저장하지 않은 파일 복구...
Import pattern...	패턴 가져오기...
Export pattern...	패턴 내보내기...
Import from MIDI	MIDI 가져오기
Import from schematic...	스키매틱 가져오기...
Import from Schematic	스키매틱 가져오기
Export as MP3...	MP3로 내보내기...
Export as schematic...	스키매틱으로 내보내기...
Export as branch schematic...	분기 스키매틱으로 내보내기...
Export as data pack...	데이터 팩으로 내보내기...
Exit	종료
Edit	편집
Edit​	편집​
Settings	설정
Instrument	악기
Instrument settings...	악기 설정...
Instrument Settings	악기 설정
Song info...	곡 정보...
Song properties...	곡 속성...
Song stats...	곡 통계...
MIDI device manager	MIDI 장치 관리
Preferences	환경 설정
Help	도움말
Tutorial videos	사용법 동영상
View all	모두 보기
Website	웹사이트
Discord server...	Discord 서버...
Report a bug...	버그 신고...
Donate	후원
Changelist	변경 내역
About	프로그램 정보
Play / Pause song	재생 / 일시 정지
Stop song	재생 정지
Rewind song	뒤로 감기
Fast-forward song	빨리 감기
Record key presses	키 입력 녹음
Toggle looping	반복 재생 전환
Toggle metronome	메트로놈 전환
Edit note key	음 높이 편집
Edit note velocity	음표 세기 편집
Edit note panning	음표 패닝 편집
Edit note pitch	미세 음정 편집
Change instrument to 	악기 변경: 
Less instruments	악기 접기
More instruments...	더 많은 악기...
Undo	실행 취소
Redo	다시 실행
Undo the last change	마지막 변경 취소
Redo the last undo	취소한 작업 다시 실행
Copy the selected note blocks	선택한 소리 블록 복사
Cut the selected note blocks	선택한 소리 블록 잘라내기
Paste the copied note blocks	복사한 소리 블록 붙여넣기
Delete the selected note blocks	선택한 소리 블록 삭제
View song info	곡 정보 보기
Edit song properties	곡 속성 편집
Edit instruments	악기 편집
Watch tutorial videos	사용법 동영상 보기
Visit the Note Block Studio website	Note Block Studio 웹사이트 방문
Master Volume: 	전체 음량: 
Fully compatible	완전 호환
This song is compatible with both schematics and data packs.\n(Click for more info.)	스키매틱과 데이터 팩에 모두 호환되는 곡입니다.\n(클릭하면 자세히 보기)
Data pack only	데이터 팩 전용
This song is only compatible with data packs.\n(Click for more info.)	데이터 팩에만 호환되는 곡입니다.\n(클릭하면 자세히 보기)
Resource pack only	리소스 팩 필요
This song is compatible with data packs using a resource pack.\n(Click for more info.)	리소스 팩을 사용하는 데이터 팩에 호환되는 곡입니다.\n(클릭하면 자세히 보기)
Instrument: 	악기: 
Key: 	음 높이: 
